source_url,release_date,page,row,bank,representative,item,currency,amount,company
https://cbl.gov.ly/wp-content/uploads/2021/04/8-14april2021.pdf,2021-04-15,1,1,مصرف املتحد - الفرع الرئيس ي,رمضان سالم علي أبوسنينة,شكالطة,USD,610774.13,شركة الرماح الستيراد املواد الغذائية املساهمة
https://cbl.gov.ly/wp-content/uploads/2021/04/8-14april2021.pdf,2021-04-15,1,2,مصرف الصحاري - الزاوية,شوقي محمد بلقاسم بشينة,حامض السلفونيك,USD,65340,شركة الدلتا لصناعة مواد التنظيف
https://cbl.gov.ly/wp-content/uploads/2021/04/8-14april2021.pdf,2021-04-15,1,3,مصرف السراي - الفرع الرئيس ي,محمد عبدالجليل إبراهيم سلطان,PET خام مواد,USD,238500,شركة ال سلطان للصناعات البالستكية
https://cbl.gov.ly/wp-content/uploads/2021/04/8-14april2021.pdf,2021-04-15,1,4,مصرف الجمهورية - املقريف,سراج عبد الحفيظ الصادق غربيي,زجاج,EUR,82783.43,شركة التنظيم املعماري العمال االلومنيوم و الزجاج
https://cbl.gov.ly/wp-content/uploads/2021/04/8-14april2021.pdf,2021-04-15,1,5,مصرف الصحاري - جنزور,رياض مصطفى عبدالصمد الصويعي,مكرونة,USD,825000,شركة سنبلة الهيرة الس تيراد املواد الغذائية
https://cbl.gov.ly/wp-content/uploads/2021/04/8-14april2021.pdf,2021-04-15,1,6,مصرف الخليج االول الليبي,سعيد ابراهيم سعيد كرناص,قطع غيار مولدات,USD,148448.06,شركة ليبيا الحرة الستيراد املولدات واالالت واملعدات الكهربائية وقطع غيرها
https://cbl.gov.ly/wp-content/uploads/2021/04/8-14april2021.pdf,2021-04-15,1,7,املصرف التجاري العربي - قرقارش,عبدالرزاق بشير محمد النفاتي,TV,USD,489643.2,شركة ا لنسيم الستيراد املواد الكهربائية املساهمة
https://cbl.gov.ly/wp-content/uploads/2021/04/8-14april2021.pdf,2021-04-15,1,8,مصرف املتحد لتجارة واالستثمار ـ فرع طراب لس,سالم مفتاح موس ى العابد,اسمدة,USD,600000,شركة القلعة الستيراد املستلزمات الزراعية املساهمة
https://cbl.gov.ly/wp-content/uploads/2021/04/8-14april2021.pdf,2021-04-15,1,9,مصرف املتحد لتجارة واالستثمار ـ فرع طرابلس,عبد الرحمن انبية مسعود مليطان,مستلزمات زراعية,EUR,86300,شركة الواحات الستيراد املستلزمات الزراعية
https://cbl.gov.ly/wp-content/uploads/2021/04/8-14april2021.pdf,2021-04-15,1,10,مصرف الخليج ال ليبي االول,الصديق مفتاح سليمان سبس ي,فورمايكا,EUR,140560.47,شركة القلعة لصناعة االلومنيوم
https://cbl.gov.ly/wp-content/uploads/2021/04/8-14april2021.pdf,2021-04-15,1,11,مصرف املتحد لتجارة واالستثمار ـ فرع طرابلس,محمد ابراهيم محمد احميدة,اطارات,USD,563696.1,شركة التبادل الستيراد وسائل النقل وتجهيز الورش
https://cbl.gov.ly/wp-content/uploads/2021/04/8-14april2021.pdf,2021-04-15,1,12,مصرف الخليج الليبي االول,صالح عمير محمد طيطش,مواد خام,USD,147078.4,شركة الهرم لصناعة الطالء والعبوات البالستيكية
https://cbl.gov.ly/wp-content/uploads/2021/04/8-14april2021.pdf,2021-04-15,1,13,مصرف الخليج الليبي االول,بشير حاجي بشير العكاري,جبنة,USD,446188.13999999996,شركة التسنيم الستيراد املواد الغذائية
https://cbl.gov.ly/wp-content/uploads/2021/04/8-14april2021.pdf,2021-04-15,1,14,مصرف الخليج الليبي االول,الزناتي ضو منصور ضو,اكياس تعبئة,USD,658490,شركة وادى بى لصناعة االعالف واملستلزمات الزراعية
https://cbl.gov.ly/wp-content/uploads/2021/04/8-14april2021.pdf,2021-04-15,1,15,مصرف الخليج الليبي االول,نجاح عبدهللا محمد شلغوم,ادوية,USD,350001.4,شركة الصيادلة إلس تيراد االدوية واملعدات الطبية
https://cbl.gov.ly/wp-content/uploads/2021/04/8-14april2021.pdf,2021-04-15,1,16,مصرف الخليج الليبي االول,نجاح عبدهللا محمد شلغوم,ادوية,USD,179240,شركة الصيادلة إلستيراد االدوية واملعدات الطبية
https://cbl.gov.ly/wp-content/uploads/2021/04/8-14april2021.pdf,2021-04-15,1,17,مصرف الخليج االول الليبي,نجاح عبدهللا محمد شلغوم,ادوية,USD,49104,شركة الصيادلة إلستيراد االدوية واملعد ات الطبية
https://cbl.gov.ly/wp-content/uploads/2021/04/8-14april2021.pdf,2021-04-15,1,18,مصرف املتحد لتجارة واالستثمار ـ فرع طرابلس,محمد عمر محمد املطاوع,نقاالت,USD,299610,شركة تواصل ليبيا الستيراد االلكترونيات املساهمة
